Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,xG within 5s of Crosses,xGA within 5s of Crosses,xG within 15s of Set Pieces,xGA within 15s of Set Pieces,xGD within 15s of Set Pieces,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Vertical Tendency,Opponent Vertical Tendency,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Vila Nova,1.93,1.34,0.59,1.05,1.34,-0.29,0.12,0.0,0.12,1.17,1.34,-0.17,,,,,,2,1,1,0.41,57.6,63.64,,,49.34,0.55,0.58,193,4,17,10,30.91,17.24,5.0,6,7,22,8,16,131.1,73.82,19.8,26.78,85.93,60.18,0,Vila Nova 2-1 Atlético Goianiense,2026-04-04
Ceará,1.63,2.6,-0.97,1.43,1.0,0.43,0.2,0.08,0.12,1.63,1.08,0.55,,,,,,2,0,2,2.97,35.6,31.13,,,45.09,0.4,0.58,114,8,7,16,17.5,27.59,13.63,4,5,10,2,20,36.0,17.94,102.6,83.69,58.77,44.01,1,Cuiabá 0-2 Ceará,2026-04-04
Cuiabá,2.6,1.63,0.97,1.0,1.43,-0.43,0.08,0.2,-0.12,1.08,1.63,-0.55,,,,,,0,2,-2,-2.97,64.4,68.87,,,52.88,0.58,0.4,327,12,16,7,27.59,17.5,5.79,5,4,25,1,14,164.7,82.06,20.0,16.31,74.77,55.99,5,Cuiabá 0-2 Ceará,2026-04-04
Ponte Preta,1.01,2.56,-1.55,1.01,1.45,-0.44,0.0,0.35,-0.35,1.01,1.8,-0.79,,,,,,0,1,-1,0.55,32.1,29.52,,,46.03,0.32,1.26,101,4,4,23,12.5,18.25,10.21,2,3,12,3,21,9.4,4.59,90.8,92.72,27.2,15.89,1,Náutico 1-0 Ponte Preta,2026-04-04
Náutico,2.56,1.01,1.55,1.45,1.01,0.44,0.35,0.0,0.35,1.8,1.01,0.79,,,,,,1,0,1,-0.55,67.9,70.48,,,55.3,1.26,0.32,319,19,23,4,18.25,12.5,5.0,3,2,41,17,14,195.5,95.41,7.13,7.28,144.03,84.11,0,Náutico 1-0 Ponte Preta,2026-04-04
Juventude,1.39,1.52,-0.13,1.15,0.44,0.71,0.25,0.32,-0.07,1.39,0.76,0.63,,,,,,1,2,-1,-0.87,62.3,57.71,,,47.17,0.59,0.38,221,11,18,12,30.51,31.58,5.88,7,3,17,2,11,97.6,61.38,24.8,18.58,54.37,28.92,4,Fortaleza 2-1 Juventude,2026-04-04
Fortaleza,1.52,1.39,0.13,0.44,1.15,-0.71,0.32,0.25,0.07,0.76,1.39,-0.63,,,,,,2,1,1,0.87,37.7,42.29,,,45.4,0.38,0.59,123,7,12,18,31.58,30.51,11.21,3,7,15,5,23,61.4,38.62,108.67,81.42,133.63,71.08,0,Fortaleza 2-1 Juventude,2026-04-04
Operário PR,1.25,0.76,0.49,1.21,0.73,0.48,0.05,0.03,0.02,1.25,0.76,0.49,,,,,,2,1,1,0.51,52.2,53.26,,,46.74,0.53,0.36,278,8,15,16,28.3,44.44,16.31,5,1,22,8,8,87.4,52.87,39.47,38.7,69.43,41.97,0,São Bernardo 1-2 Operário PR,2026-04-02
São Bernardo,0.76,1.25,-0.49,0.73,1.21,-0.48,0.03,0.05,-0.02,0.76,1.25,-0.49,,,,,,1,2,-1,-0.51,47.8,46.74,,,43.93,0.36,0.53,204,8,16,15,44.44,28.3,23.8,1,5,19,6,7,77.9,47.13,62.53,61.3,96.0,58.03,1,São Bernardo 1-2 Operário PR,2026-04-02
Avaí,1.14,2.18,-1.04,1.14,2.11,-0.97,0.0,0.07,-0.07,1.14,2.18,-1.04,,,,,,1,0,1,2.04,42.6,35.21,,,44.1,0.59,1.12,173,6,15,27,25.42,24.11,16.62,4,9,15,5,14,76.0,28.57,90.07,73.74,101.37,41.66,1,CRB 0-1 Avaí,2026-04-01
CRB,2.18,1.14,1.04,2.11,1.14,0.97,0.07,0.0,0.07,2.18,1.14,1.04,,,,,,0,1,-1,-2.04,57.4,64.79,,,51.94,1.12,0.59,341,12,27,15,24.11,25.42,9.49,9,4,29,5,10,190.0,71.43,32.07,26.26,141.97,58.34,2,CRB 0-1 Avaí,2026-04-01
Athletic Club MG,0.54,3.52,-2.98,0.54,2.3,-1.76,0.0,0.46,-0.46,0.54,2.76,-2.22,,,,,,1,1,0,2.98,30.0,27.57,,,38.93,0.04,2.12,77,3,7,32,175.0,15.09,11.47,6,5,6,2,21,15.0,5.05,90.27,95.35,33.97,16.76,2,Criciúma 1-1 Athletic Club MG,2026-04-01
Criciúma,3.52,0.54,2.98,2.3,0.54,1.76,0.46,0.0,0.46,2.76,0.54,2.22,,,,,,1,1,0,-2.98,70.0,72.43,,,54.12,2.12,0.04,338,28,32,7,15.09,175.0,5.38,5,6,38,9,10,281.8,94.95,4.4,4.65,168.7,83.24,1,Criciúma 1-1 Athletic Club MG,2026-04-01
Ceará,2.69,1.98,0.71,2.41,1.98,0.43,0.29,0.0,0.29,2.69,1.98,0.71,,,,,,1,1,0,-0.71,42.8,52.08,,,52.03,0.96,0.78,186,17,14,9,14.58,11.54,9.24,8,2,22,6,13,142.3,61.15,90.13,87.56,173.63,77.33,2,Ponte Preta 1-1 Ceará,2026-04-01
Ponte Preta,1.98,2.69,-0.71,1.98,2.41,-0.43,0.0,0.29,-0.29,1.98,2.69,-0.71,,,,,,1,1,0,0.71,57.2,47.92,,,48.76,0.78,0.96,223,11,9,14,11.54,14.58,7.52,2,8,24,4,20,90.4,38.85,12.8,12.44,50.9,22.67,0,Ponte Preta 1-1 Ceará,2026-04-01
Vila Nova,2.6,1.08,1.52,2.55,0.89,1.66,0.04,0.19,-0.15,2.6,1.08,1.52,,,,,,1,1,0,-1.52,60.7,67.14,,,52.48,0.81,0.42,311,15,16,10,19.75,23.81,9.15,6,3,18,3,12,165.6,83.55,37.93,23.1,110.5,64.5,0,Sport Recife 1-1 Vila Nova,2026-04-01
Sport Recife,1.08,2.6,-1.52,0.89,2.55,-1.66,0.19,0.04,0.15,1.08,2.6,-1.52,,,,,,1,1,0,1.52,39.3,32.86,,,42.03,0.42,0.81,112,10,10,16,23.81,19.75,15.56,3,6,19,6,11,32.6,16.45,126.27,76.9,60.83,35.5,0,Sport Recife 1-1 Vila Nova,2026-04-01
Náutico,0.54,1.54,-1.0,0.46,1.53,-1.07,0.08,0.02,0.06,0.54,1.54,-1.0,,,,,,2,1,1,2.0,51.2,54.51,,,48.5,0.4,0.58,177,13,9,11,22.5,18.97,6.63,8,2,11,1,18,89.4,62.17,31.87,35.78,70.0,51.35,0,Atlético Goianiense 1-2 Náutico,2026-04-01
Atlético Goianiense,1.54,0.54,1.0,1.53,0.46,1.07,0.02,0.08,-0.06,1.54,0.54,1.0,,,,,,1,2,-1,-2.0,48.8,45.49,,,45.27,0.58,0.4,146,13,11,9,18.97,22.5,7.24,2,8,20,7,21,54.4,37.83,57.2,64.22,66.33,48.65,1,Atlético Goianiense 1-2 Náutico,2026-04-01
Goiás,2.28,1.5,0.78,1.28,1.48,-0.2,1.0,0.01,0.99,2.28,1.5,0.78,,,,,,2,2,0,-0.78,59.9,67.66,,,52.4,0.99,0.27,275,17,14,8,14.14,29.63,7.51,3,3,22,6,17,187.3,84.75,28.93,31.54,154.4,78.55,3,Londrina 2-2 Goiás,2026-04-01
Londrina,1.5,2.28,-0.78,1.48,1.28,0.2,0.01,1.0,-0.99,1.5,2.28,-0.78,,,,,,2,2,0,0.78,40.1,32.34,,,44.19,0.27,0.99,140,3,8,14,29.63,14.14,10.06,3,3,19,6,16,33.7,15.25,62.8,68.46,42.17,21.45,0,Londrina 2-2 Goiás,2026-04-01
Botafogo SP,1.52,0.84,0.68,0.9,0.83,0.07,0.63,0.01,0.62,1.52,0.84,0.68,,,,,,2,1,1,0.32,32.9,36.73,,,49.37,0.57,0.63,125,9,13,14,22.81,22.22,13.81,4,3,18,7,17,59.9,32.0,118.33,89.24,100.27,66.02,1,América Mineiro 1-2 Botafogo SP,2026-04-01
América Mineiro,0.84,1.52,-0.68,0.83,0.9,-0.07,0.01,0.63,-0.62,0.84,1.52,-0.68,,,,,,1,2,-1,-0.32,67.1,63.27,,,49.52,0.63,0.57,277,16,14,13,22.22,22.81,6.48,3,4,33,11,15,127.3,68.0,14.27,10.76,51.6,33.98,3,América Mineiro 1-2 Botafogo SP,2026-04-01
Cuiabá,0.09,0.67,-0.58,0.09,0.59,-0.5,0.0,0.08,-0.08,0.09,0.67,-0.58,,,,,,0,0,0,0.58,41.5,25.33,,,39.4,0.07,0.49,108,1,4,15,57.14,30.61,9.87,1,5,3,0,18,17.7,10.97,89.4,60.6,24.83,17.2,0,Fortaleza 0-0 Cuiabá,2026-03-31
Fortaleza,0.67,0.09,0.58,0.59,0.09,0.5,0.08,0.0,0.08,0.67,0.09,0.58,,,,,,0,0,0,-0.58,58.5,74.67,,,51.07,0.49,0.07,308,13,15,4,30.61,57.14,7.65,5,1,19,4,20,143.7,89.03,58.13,39.4,119.57,82.8,2,Fortaleza 0-0 Cuiabá,2026-03-31
Novorizontino,0.6,0.86,-0.26,0.53,0.79,-0.26,0.07,0.07,0.0,0.6,0.86,-0.26,,,,,,0,0,0,0.26,40.4,46.9,,,48.46,0.34,1.12,172,4,9,13,26.47,11.61,12.74,2,3,20,8,15,40.6,28.88,78.93,82.56,79.3,50.92,2,Juventude 0-0 Novorizontino,2026-03-31
Juventude,0.86,0.6,0.26,0.79,0.53,0.26,0.07,0.07,0.0,0.86,0.6,0.26,,,,,,0,0,0,-0.26,59.6,53.1,,,43.85,1.12,0.34,197,20,13,9,11.61,26.47,9.38,3,2,21,4,13,100.0,71.12,16.67,17.44,76.43,49.08,7,Juventude 0-0 Novorizontino,2026-03-31
Londrina,1.52,2.94,-1.42,1.17,2.54,-1.37,0.35,0.4,-0.05,1.52,2.94,-1.42,,,,,,3,1,2,3.42,43.9,30.99,,,41.37,0.62,1.52,127,7,11,24,17.74,15.79,17.56,5,10,13,7,9,27.6,11.89,52.47,50.36,47.23,24.22,1,Novorizontino 1-3 Londrina,2026-03-22
Novorizontino,2.94,1.52,1.42,2.54,1.17,1.37,0.4,0.35,0.05,2.94,1.52,1.42,,,,,,1,3,-2,-3.42,56.1,69.01,,,53.59,1.52,0.62,282,25,24,11,15.79,17.74,10.16,10,5,42,9,9,204.5,88.11,51.73,49.64,147.8,75.78,3,Novorizontino 1-3 Londrina,2026-03-22
América Mineiro,1.98,2.03,-0.05,1.86,0.45,1.41,0.12,0.06,0.06,1.98,0.51,1.47,,,,,,1,3,-2,-1.95,66.8,70.49,,,55.57,1.12,0.42,365,20,24,9,21.43,21.43,8.92,7,7,37,8,6,262.7,87.28,8.87,7.57,150.2,64.69,0,Goiás 3-1 América Mineiro,2026-03-22
Goiás,2.03,1.98,0.05,0.45,1.86,-1.41,0.06,0.12,-0.06,0.51,1.98,-1.47,,,,,,3,1,2,1.95,33.2,29.51,,,48.54,0.42,1.12,135,6,9,24,21.43,21.43,17.76,7,7,5,3,10,38.3,12.72,108.27,92.43,82.0,35.31,0,Goiás 3-1 América Mineiro,2026-03-22
Ponte Preta,0.75,1.47,-0.72,0.6,1.24,-0.64,0.15,0.23,-0.08,0.75,1.47,-0.72,,,,,,1,2,-1,-0.28,57.4,51.31,,,47.09,0.43,0.38,215,8,10,17,23.26,44.74,8.0,4,3,17,3,15,74.6,44.59,31.33,30.8,38.47,23.97,3,Athletic Club MG 2-1 Ponte Preta,2026-03-22
Athletic Club MG,1.47,0.75,0.72,1.24,0.6,0.64,0.23,0.15,0.08,1.47,0.75,0.72,,,,,,2,1,1,0.28,42.6,48.69,,,46.69,0.38,0.43,158,11,17,10,44.74,23.26,10.25,3,4,12,3,21,92.7,55.41,70.4,69.2,122.03,76.03,4,Athletic Club MG 2-1 Ponte Preta,2026-03-22
Criciúma,1.06,0.68,0.38,0.79,0.46,0.33,0.26,0.21,0.05,1.06,0.68,0.38,,,,,,1,0,1,0.62,39.6,47.08,,,49.04,0.77,0.48,149,11,9,10,11.69,20.83,9.58,4,2,23,8,19,45.0,38.1,77.87,91.54,100.8,81.53,1,Náutico 0-1 Criciúma,2026-03-22
Náutico,0.68,1.06,-0.38,0.46,0.79,-0.33,0.21,0.26,-0.05,0.68,1.06,-0.38,,,,,,0,1,-1,-0.62,60.4,52.92,,,45.27,0.48,0.77,201,12,10,9,20.83,11.69,6.24,2,4,30,12,17,73.1,61.9,7.2,8.46,22.83,18.47,1,Náutico 0-1 Criciúma,2026-03-22
Juventude,0.55,1.28,-0.73,0.55,1.08,-0.53,0.0,0.19,-0.19,0.55,1.28,-0.73,,,,,,0,2,-2,-1.27,58.2,44.32,,,40.97,0.92,0.5,161,14,8,16,8.7,32.0,8.48,7,15,15,3,14,66.2,39.93,7.07,7.3,24.83,12.31,1,Avaí 2-0 Juventude,2026-03-22
Avaí,1.28,0.55,0.73,1.08,0.55,0.53,0.19,0.0,0.19,1.28,0.55,0.73,,,,,,2,0,2,1.27,41.8,55.68,,,50.62,0.5,0.92,185,7,16,8,32.0,8.7,9.0,15,7,9,3,15,99.6,60.07,89.8,92.7,176.83,87.69,2,Avaí 2-0 Juventude,2026-03-22
Sport Recife,0.85,1.75,-0.9,0.79,1.75,-0.96,0.07,0.0,0.07,0.85,1.75,-0.9,,,,,,0,0,0,0.9,58.2,56.97,,,46.04,0.46,0.69,217,10,10,13,21.74,18.84,8.18,3,6,19,1,21,91.3,56.15,36.87,29.25,73.1,40.95,0,Cuiabá 0-0 Sport Recife,2026-03-21
Cuiabá,1.75,0.85,0.9,1.75,0.79,0.96,0.0,0.07,-0.07,1.75,0.85,0.9,,,,,,0,0,0,-0.9,41.8,43.03,,,43.23,0.69,0.46,132,7,13,10,18.84,21.74,9.98,6,3,15,0,20,71.3,43.85,89.2,70.75,105.43,59.05,1,Cuiabá 0-0 Sport Recife,2026-03-21
Fortaleza,0.57,2.93,-2.36,0.54,1.84,-1.3,0.04,1.09,-1.05,0.57,2.93,-2.36,,,,,,0,4,-4,-1.64,53.2,42.08,,,45.01,0.44,0.76,162,7,7,15,15.91,19.74,8.61,3,5,17,5,20,38.5,24.38,33.87,32.55,31.92,11.28,0,Botafogo SP 4-0 Fortaleza,2026-03-21
Botafogo SP,2.93,0.57,2.36,1.84,0.54,1.3,1.09,0.04,1.05,2.93,0.57,2.36,,,,,,4,0,4,1.64,46.8,57.92,,,46.06,0.76,0.44,163,10,15,7,19.74,15.91,9.14,5,3,23,7,13,119.4,75.62,70.2,67.45,251.07,88.72,1,Botafogo SP 4-0 Fortaleza,2026-03-21
Atlético Goianiense,0.68,3.14,-2.46,0.48,2.11,-1.63,0.2,1.03,-0.83,0.68,3.14,-2.46,,,,,,0,1,-1,1.46,57.2,60.06,,,49.75,0.54,0.42,251,11,9,17,16.67,40.48,11.33,4,4,30,7,12,106.2,60.48,36.4,36.5,78.57,47.4,1,Operário PR 1-0 Atlético Goianiense,2026-03-21
Operário PR,3.14,0.68,2.46,2.11,0.48,1.63,1.03,0.2,0.83,3.14,0.68,2.46,,,,,,1,0,1,-1.46,42.8,39.94,,,43.39,0.42,0.54,135,9,17,9,40.48,16.67,12.03,4,4,15,7,14,69.4,39.52,63.33,63.5,87.2,52.6,1,Operário PR 1-0 Atlético Goianiense,2026-03-21
São Bernardo,0.32,2.37,-2.05,0.32,1.46,-1.14,0.0,0.16,-0.16,0.32,1.61,-1.29,,,,,,1,1,0,2.05,48.2,42.46,,,44.48,0.53,0.92,170,5,4,21,7.55,22.83,10.29,6,6,11,3,18,47.5,30.45,35.07,37.68,49.97,24.75,1,Ceará 1-1 São Bernardo,2026-03-21
Ceará,2.37,0.32,2.05,1.46,0.32,1.14,0.16,0.0,0.16,1.61,0.32,1.29,,,,,,1,1,0,-2.05,51.8,57.54,,,47.81,0.92,0.53,199,19,21,4,22.83,7.55,9.86,6,6,26,7,8,108.5,69.55,58.0,62.32,151.9,75.25,4,Ceará 1-1 São Bernardo,2026-03-21
CRB,1.28,0.71,0.57,1.14,0.63,0.51,0.15,0.09,0.06,1.28,0.71,0.57,,,,,,2,2,0,-0.57,64.8,66.54,,,51.14,0.77,0.54,257,11,12,8,15.58,14.81,5.87,5,4,29,5,16,126.0,76.36,18.33,16.78,73.3,60.73,2,Vila Nova 2-2 CRB,2026-03-21
Vila Nova,0.71,1.28,-0.57,0.63,1.14,-0.51,0.09,0.15,-0.06,0.71,1.28,-0.57,,,,,,2,2,0,0.57,35.2,33.46,,,44.76,0.54,0.77,108,4,8,12,14.81,15.58,9.72,4,5,12,3,22,39.0,23.64,90.93,83.22,47.4,39.27,0,Vila Nova 2-2 CRB,2026-03-21
