Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,xG within 5s of Crosses,xGA within 5s of Crosses,xG within 15s of Set Pieces,xGA within 15s of Set Pieces,xGD within 15s of Set Pieces,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Vertical Tendency,Opponent Vertical Tendency,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Jeonbuk Motors,1.46,0.8,0.66,1.46,0.64,0.82,0.0,0.16,-0.16,1.46,0.8,0.66,0.23,0.12,0.05,0.22,-0.17,2,1,1,0.34,66.0,65.06,13.0,22.6,49.6,0.69,0.33,341,13,16,11,23.19,33.33,7.85,6,8,24,6,9,159.0,71.88,4.0,2.61,28.5,15.93,0,Jeonbuk Motors 2-1 Anyang,2026-03-18
Ulsan HD,1.51,1.22,0.29,1.32,1.19,0.13,0.2,0.02,0.18,1.51,1.22,0.29,0.07,0.16,0.2,0.49,-0.29,2,0,2,1.71,57.9,52.6,23.8,12.4,44.22,0.69,0.82,220,13,11,16,15.94,19.51,9.39,7,1,18,8,13,102.0,51.26,20.0,17.53,80.37,43.47,1,Jeju FC 0-2 Ulsan HD,2026-03-18
Jeju FC,1.22,1.51,-0.29,1.19,1.32,-0.13,0.02,0.2,-0.18,1.22,1.51,-0.29,0.16,0.07,0.49,0.2,0.29,0,2,-2,-1.71,42.1,47.4,12.4,23.8,49.29,0.82,0.69,190,19,16,11,19.51,15.94,14.19,1,7,25,4,12,97.0,48.74,94.07,82.47,104.53,56.53,2,Jeju FC 0-2 Ulsan HD,2026-03-18
Daejeon Hana Citizen,1.58,2.21,-0.63,1.42,2.04,-0.62,0.17,0.17,0.0,1.58,2.21,-0.63,0.17,1.16,0.17,0.96,-0.79,3,1,2,2.63,50.3,39.13,15.7,20.8,43.62,0.7,0.99,179,10,9,11,12.86,11.11,10.62,7,2,12,2,16,60.7,33.84,54.53,45.44,61.07,37.22,0,Incheon United 1-3 Daejeon Hana Citizen,2026-03-18
Incheon United,2.21,1.58,0.63,2.04,1.42,0.62,0.17,0.17,0.0,2.21,1.58,0.63,1.16,0.17,0.96,0.17,0.79,1,3,-2,-2.63,49.7,60.87,20.8,15.7,43.9,0.99,0.7,179,15,11,9,11.11,12.86,16.78,2,7,32,7,8,118.7,66.16,65.47,54.56,103.0,62.78,1,Incheon United 1-3 Daejeon Hana Citizen,2026-03-18
Gangwon,0.95,0.73,0.22,0.9,0.73,0.17,0.04,0.0,0.04,0.95,0.73,0.22,0.0,0.32,0.0,0.42,-0.42,0,0,0,-0.22,56.9,53.43,25.3,27.3,45.55,0.33,0.38,245,7,10,9,30.3,23.68,7.19,7,4,13,3,18,61.1,55.19,31.6,28.97,36.0,33.84,0,Bucheon 1995 0-0 Gangwon,2026-03-18
Bucheon 1995,0.73,0.95,-0.22,0.73,0.9,-0.17,0.0,0.04,-0.04,0.73,0.95,-0.22,0.32,0.0,0.42,0.0,0.42,0,0,0,0.22,43.1,46.57,27.3,25.3,46.56,0.38,0.33,179,9,9,10,23.68,30.3,13.37,4,7,8,2,14,49.6,44.81,77.47,71.03,70.37,66.16,1,Bucheon 1995 0-0 Gangwon,2026-03-18
Gwangju,2.17,2.17,0.0,1.41,1.73,-0.32,0.0,0.44,-0.44,1.41,2.17,-0.76,0.46,0.03,0.21,0.69,-0.48,1,1,0,0.0,50.1,54.15,19.5,26.7,50.66,1.05,0.63,259,18,17,17,16.19,26.98,8.3,10,1,27,4,19,125.1,60.43,89.27,62.84,146.87,73.15,0,Gimcheon Sangmu 1-1 Gwangju,2026-03-17
Gimcheon Sangmu,2.17,2.17,0.0,1.73,1.41,0.32,0.44,0.0,0.44,2.17,1.41,0.76,0.03,0.46,0.69,0.21,0.48,1,1,0,0.0,49.9,45.85,26.7,19.5,41.78,0.63,1.05,161,14,17,17,26.98,16.19,12.72,1,10,19,8,16,81.9,39.57,52.8,37.16,53.9,26.85,1,Gimcheon Sangmu 1-1 Gwangju,2026-03-17
Incheon United,1.48,0.78,0.7,1.39,0.75,0.64,0.09,0.03,0.06,1.48,0.78,0.7,0.38,0.0,0.78,0.37,0.41,1,1,0,-0.7,46.5,51.91,16.7,20.7,43.03,0.76,0.34,167,13,10,8,13.16,23.53,18.08,3,8,15,3,9,75.5,62.04,57.13,51.56,85.27,63.27,3,Pohang Steelers 1-1 Incheon United,2026-03-15
Pohang Steelers,0.78,1.48,-0.7,0.75,1.39,-0.64,0.03,0.09,-0.06,0.78,1.48,-0.7,0.0,0.38,0.37,0.78,-0.41,1,1,0,0.7,53.5,48.09,20.7,16.7,41.88,0.34,0.76,150,9,8,10,23.53,13.16,10.36,8,3,14,3,14,46.2,37.96,53.67,48.44,49.5,36.73,2,Pohang Steelers 1-1 Incheon United,2026-03-15
Anyang,1.72,1.16,0.56,1.72,0.67,1.05,0.0,0.49,-0.49,1.72,1.16,0.56,0.0,0.3,0.35,0.6,-0.25,1,1,0,-0.56,39.7,29.9,17.0,18.9,42.9,0.39,1.15,116,5,7,14,17.95,12.17,26.0,3,4,10,4,7,37.1,17.82,58.4,75.45,38.07,22.17,0,Gangwon 1-1 Anyang,2026-03-15
Gangwon,1.16,1.72,-0.56,0.67,1.72,-1.05,0.49,0.0,0.49,1.16,1.72,-0.56,0.3,0.0,0.6,0.35,0.25,1,1,0,0.56,60.3,70.1,18.9,17.0,50.68,1.15,0.39,263,19,14,7,12.17,17.95,9.27,4,3,43,14,9,171.1,82.18,19.0,24.55,133.67,77.83,0,Gangwon 1-1 Anyang,2026-03-15
Seoul,3.16,1.21,1.95,2.79,1.21,1.58,0.36,0.0,0.36,3.16,1.21,1.95,0.18,0.0,1.19,0.45,0.74,2,1,1,-0.95,61.7,56.48,30.8,23.4,45.96,0.89,0.53,220,20,19,10,21.35,18.87,7.35,8,2,21,8,13,110.3,72.19,10.13,9.14,66.3,45.4,1,Jeju FC 1-2 Seoul,2026-03-15
Jeju FC,1.21,3.16,-1.95,1.21,2.79,-1.58,0.0,0.36,-0.36,1.21,3.16,-1.95,0.0,0.18,0.45,1.19,-0.74,1,2,-1,0.95,38.3,43.52,23.4,30.8,47.56,0.53,0.89,144,8,10,19,18.87,21.35,12.62,2,8,12,2,19,42.5,27.81,100.67,90.86,79.73,54.6,6,Jeju FC 1-2 Seoul,2026-03-15
Ulsan HD,3.4,0.74,2.66,2.38,0.73,1.65,0.25,0.0,0.25,2.64,0.74,1.9,0.21,0.22,0.63,0.0,0.63,2,1,1,-1.66,53.4,49.37,19.8,17.9,46.21,0.73,0.83,210,13,18,11,24.66,13.25,10.9,5,2,14,4,13,105.8,58.61,28.6,27.82,73.7,50.03,1,Bucheon 1995 1-2 Ulsan HD,2026-03-15
Bucheon 1995,0.74,3.4,-2.66,0.73,2.38,-1.65,0.0,0.25,-0.25,0.74,2.64,-1.9,0.22,0.21,0.0,0.63,-0.63,1,2,-1,1.66,46.6,50.63,17.9,19.8,49.2,0.83,0.73,219,11,11,18,13.25,24.66,12.09,2,5,17,5,15,74.7,41.39,74.2,72.18,73.6,49.97,2,Bucheon 1995 1-2 Ulsan HD,2026-03-15
Gimcheon Sangmu,0.95,2.13,-1.18,0.42,1.97,-1.55,0.53,0.16,0.37,0.95,2.13,-1.18,0.12,0.53,0.63,0.41,0.22,1,1,0,1.18,44.8,38.1,25.6,25.2,41.76,0.54,0.96,158,11,10,15,18.52,15.62,16.3,2,8,11,5,14,40.4,22.77,74.33,52.27,70.83,32.6,3,Daejeon Hana Citizen 1-1 Gimcheon Sangmu,2026-03-14
Daejeon Hana Citizen,2.13,0.95,1.18,1.97,0.42,1.55,0.16,0.53,-0.37,2.13,0.95,1.18,0.53,0.12,0.41,0.63,-0.22,1,1,0,-1.18,55.2,61.9,25.2,25.6,49.01,0.96,0.54,274,16,15,10,15.62,18.52,10.46,8,2,24,6,10,137.0,77.23,67.87,47.73,146.47,67.4,0,Daejeon Hana Citizen 1-1 Gimcheon Sangmu,2026-03-14
Jeonbuk Motors,2.06,0.78,1.28,1.96,0.68,1.28,0.1,0.09,0.01,2.06,0.78,1.28,1.67,0.0,0.38,0.19,0.19,0,0,0,-1.28,57.8,64.16,17.6,17.6,49.3,1.35,0.4,248,23,17,6,12.59,15.0,9.05,3,5,29,6,14,185.1,83.49,43.07,32.81,141.97,78.62,1,Gwangju 0-0 Jeonbuk Motors,2026-03-14
Gwangju,0.78,2.06,-1.28,0.68,1.96,-1.28,0.09,0.1,-0.01,0.78,2.06,-1.28,0.0,1.67,0.19,0.38,-0.19,0,0,0,1.28,42.2,35.84,17.6,17.6,46.79,0.4,1.35,185,7,6,17,15.0,12.59,11.74,5,3,10,2,20,36.6,16.51,88.2,67.19,38.6,21.38,0,Gwangju 0-0 Jeonbuk Motors,2026-03-14
Jeju FC,1.17,2.12,-0.95,0.31,1.14,-0.83,0.1,0.23,-0.13,0.41,1.36,-0.95,0.04,0.11,0.1,0.39,-0.29,1,2,-1,-0.05,50.8,47.81,13.0,25.2,47.66,0.42,1.04,228,6,6,12,14.29,11.54,9.69,1,5,13,4,14,86.9,41.46,49.73,51.34,83.73,41.6,0,Anyang 2-1 Jeju FC,2026-03-08
Anyang,2.12,1.17,0.95,1.14,0.31,0.83,0.23,0.1,0.13,1.36,0.41,0.95,0.11,0.04,0.39,0.1,0.29,2,1,1,0.05,49.2,52.19,25.2,13.0,46.35,1.04,0.42,197,14,12,6,11.54,14.29,10.95,5,1,20,5,11,122.7,58.54,47.13,48.66,117.53,58.4,0,Anyang 2-1 Jeju FC,2026-03-08
Jeonbuk Motors,0.61,1.58,-0.97,0.61,1.58,-0.97,0.0,0.0,0.0,0.61,1.58,-0.97,0.08,0.12,0.08,0.0,0.08,1,1,0,0.97,49.2,52.51,20.8,18.6,46.83,0.69,0.74,248,10,5,8,7.25,10.81,11.4,9,1,10,2,12,78.4,43.29,86.07,59.49,92.53,46.99,3,Gimcheon Sangmu 1-1 Jeonbuk Motors,2026-03-08
Gimcheon Sangmu,1.58,0.61,0.97,1.58,0.61,0.97,0.0,0.0,0.0,1.58,0.61,0.97,0.12,0.08,0.0,0.08,-0.08,1,1,0,-0.97,50.8,47.49,18.6,20.8,43.01,0.74,0.69,202,9,8,5,10.81,7.25,17.65,1,9,13,2,10,102.7,56.71,58.6,40.51,104.37,53.01,1,Gimcheon Sangmu 1-1 Jeonbuk Motors,2026-03-08
Daejeon Hana Citizen,1.07,1.46,-0.39,0.96,0.62,0.34,0.11,0.07,0.04,1.07,0.7,0.37,0.3,0.12,0.11,0.2,-0.09,1,1,0,0.39,68.8,72.38,20.8,16.2,50.4,0.9,0.46,372,16,13,10,14.44,21.74,13.27,5,2,28,5,7,173.2,82.12,8.93,5.54,87.53,46.18,0,Bucheon 1995 1-1 Daejeon Hana Citizen,2026-03-07
Bucheon 1995,1.46,1.07,0.39,0.62,0.96,-0.34,0.07,0.11,-0.04,0.7,1.07,-0.37,0.12,0.3,0.2,0.11,0.09,1,1,0,-0.39,31.2,27.62,16.2,20.8,42.0,0.46,0.9,112,7,10,13,21.74,14.44,21.63,2,5,12,3,8,37.7,17.88,152.4,94.46,102.0,53.82,2,Bucheon 1995 1-1 Daejeon Hana Citizen,2026-03-07
Incheon United,2.57,1.4,1.17,1.75,0.64,1.11,0.06,0.0,0.06,1.81,0.64,1.17,0.54,0.05,0.19,0.05,0.14,2,3,-1,-2.17,63.3,70.38,12.2,14.8,49.23,0.95,0.35,336,16,20,6,21.05,17.14,8.82,3,9,31,3,16,237.4,82.37,29.67,16.05,125.43,58.58,0,Gwangju 3-2 Incheon United,2026-03-07
Gwangju,1.4,2.57,-1.17,0.64,1.75,-1.11,0.0,0.06,-0.06,0.64,1.81,-1.17,0.05,0.54,0.05,0.19,-0.14,3,2,1,2.17,36.7,29.62,14.8,12.2,42.05,0.35,0.95,138,6,6,20,17.14,21.05,13.26,9,3,10,1,14,50.8,17.63,155.2,83.95,88.7,41.42,0,Gwangju 3-2 Incheon United,2026-03-07
Anyang,1.35,2.23,-0.88,0.59,1.46,-0.87,0.0,0.02,-0.02,0.59,1.47,-0.88,0.19,0.2,0.19,0.09,0.1,1,1,0,0.88,40.6,46.03,21.4,22.3,47.04,0.56,1.47,174,9,8,16,14.29,10.88,11.0,5,8,17,3,16,83.7,40.79,87.47,68.19,102.63,52.12,1,Daejeon Hana Citizen 1-1 Anyang,2026-03-02
Daejeon Hana Citizen,2.23,1.35,0.88,1.46,0.59,0.87,0.02,0.0,0.02,1.47,0.59,0.88,0.2,0.19,0.09,0.19,-0.1,1,1,0,-0.88,59.4,53.97,22.3,21.4,48.61,1.47,0.56,255,23,16,8,10.88,14.29,6.67,8,5,24,6,12,121.5,59.21,40.8,31.81,94.27,47.88,1,Daejeon Hana Citizen 1-1 Anyang,2026-03-02
Gwangju,0.92,0.51,0.41,0.92,0.36,0.56,0.0,0.15,-0.15,0.92,0.51,0.41,0.12,0.0,0.28,0.31,-0.03,0,0,0,-0.41,65.9,65.18,17.4,23.9,49.0,0.97,0.19,316,11,10,6,10.31,31.58,7.5,5,8,23,3,14,132.5,76.28,15.93,10.84,62.9,42.04,0,Jeju FC 0-0 Gwangju,2026-03-01
Jeju FC,0.51,0.92,-0.41,0.36,0.92,-0.56,0.15,0.0,0.15,0.51,0.92,-0.41,0.0,0.12,0.31,0.28,0.03,0,0,0,0.41,34.1,34.82,23.9,17.4,45.76,0.19,0.97,136,5,6,10,31.58,10.31,14.79,8,5,13,3,11,41.2,23.72,131.07,89.16,86.73,57.96,0,Jeju FC 0-0 Gwangju,2026-03-01
Bucheon 1995,1.34,1.76,-0.42,0.51,1.65,-1.14,0.07,0.11,-0.04,0.58,1.76,-1.18,0.0,0.48,0.09,0.75,-0.66,3,2,1,1.42,34.0,41.39,24.3,19.4,46.51,0.63,0.83,135,7,7,12,11.11,14.46,14.4,7,6,9,2,11,34.1,24.22,129.67,94.97,110.33,60.8,4,Jeonbuk Motors 2-3 Bucheon 1995,2026-03-01
Jeonbuk Motors,1.76,1.34,0.42,1.65,0.51,1.14,0.11,0.07,0.04,1.76,0.58,1.18,0.48,0.0,0.75,0.09,0.66,2,3,-1,-1.42,66.0,58.61,19.4,24.3,47.0,0.83,0.63,262,15,12,7,14.46,11.11,6.27,6,7,29,4,12,106.7,75.78,6.87,5.03,71.13,39.2,2,Jeonbuk Motors 2-3 Bucheon 1995,2026-03-01
Pohang Steelers,1.28,2.0,-0.72,0.84,2.0,-1.16,0.43,0.0,0.43,1.28,2.0,-0.72,0.0,0.93,0.57,0.93,-0.36,1,1,0,0.72,47.7,40.07,19.4,24.3,42.48,0.18,1.06,167,8,9,13,50.0,12.26,12.26,7,8,12,4,11,50.8,31.49,94.53,56.4,50.33,31.28,1,Gimcheon Sangmu 1-1 Pohang Steelers,2026-02-28
Gimcheon Sangmu,2.0,1.28,0.72,2.0,0.84,1.16,0.0,0.43,-0.43,2.0,1.28,0.72,0.93,0.0,0.93,0.57,0.36,1,1,0,-0.72,52.3,59.93,24.3,19.4,49.15,1.06,0.18,286,17,13,9,12.26,50.0,12.44,8,7,24,2,13,110.5,68.51,73.07,43.6,110.57,68.72,0,Gimcheon Sangmu 1-1 Pohang Steelers,2026-02-28
Gangwon,1.33,1.37,-0.04,1.33,1.37,-0.04,0.0,0.0,0.0,1.33,1.37,-0.04,0.5,0.24,0.11,0.35,-0.24,1,3,-2,-1.96,65.5,74.61,17.4,17.8,51.29,0.89,0.49,322,12,13,11,14.61,22.45,6.95,11,7,21,2,17,206.1,87.7,15.2,16.99,143.22,66.32,0,Ulsan HD 3-1 Gangwon,2026-02-28
Ulsan HD,1.37,1.33,0.04,1.37,1.33,0.04,0.0,0.0,0.0,1.37,1.33,0.04,0.24,0.5,0.35,0.11,0.24,3,1,2,1.96,34.5,25.39,17.8,17.4,38.1,0.49,0.89,93,10,11,13,22.45,14.61,13.26,7,11,7,2,13,28.9,12.3,74.27,83.01,72.74,33.68,0,Ulsan HD 3-1 Gangwon,2026-02-28
Seoul,1.53,1.2,0.33,1.49,0.42,1.07,0.04,0.02,0.02,1.53,0.44,1.09,0.09,0.26,0.09,0.06,0.03,2,1,1,0.67,44.4,43.19,16.9,24.1,45.91,0.27,0.32,148,8,12,8,44.44,25.0,11.94,6,10,13,3,17,58.0,45.28,81.73,67.81,109.2,74.61,0,Incheon United 1-2 Seoul,2026-02-28
Incheon United,1.2,1.53,-0.33,0.42,1.49,-1.07,0.02,0.04,-0.02,0.44,1.53,-1.09,0.26,0.09,0.06,0.09,-0.03,1,2,-1,-0.67,55.6,56.81,24.1,16.9,43.41,0.32,0.27,180,6,8,12,25.0,44.44,7.17,10,6,32,6,14,70.1,54.72,38.8,32.19,37.17,25.39,0,Incheon United 1-2 Seoul,2026-02-28
